tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2021,2021,PGA Championship,33,"Mickelson, Phil",1547,1,1,Ocean Course at Kiawah Island,697,72,1,1:14pm,70,1.045,0.204,2.144,1.387,3.736,4.781,303.5,0.429,0.556,0.556,31.765,40.399,8,0
pga,2021,2021,PGA Championship,33,"Mickelson, Phil",1547,1,2,Ocean Course at Kiawah Island,697,72,10,7:49am,69,1.33,0.864,2.558,1.768,5.189,6.568,293.0,0.786,0.667,0.714,38.495,41.119,7,4
pga,2021,2021,PGA Championship,33,"Mickelson, Phil",1547,1,3,Ocean Course at Kiawah Island,697,72,1,2:40pm,70,-0.093,1.301,3.439,-1.61,3.13,3.037,302.8,0.5,0.722,0.75,15.007,31.75,4,5
pga,2021,2021,PGA Championship,33,"Mickelson, Phil",1547,1,4,Ocean Course at Kiawah Island,697,72,1,2:30pm,73,-1.181,0.388,-0.125,0.584,0.848,-0.333,297.4,0.5,0.611,0.5,38.765,41.645,2,4
pga,2021,2021,PGA Championship,33,"Oosthuizen, Louis",7672,T2,1,Ocean Course at Kiawah Island,697,72,10,8:11am,71,1.047,-0.232,2.523,0.442,2.734,3.781,287.2,0.643,0.611,0.714,56.52,26.699,6,1
pga,2021,2021,PGA Championship,33,"Oosthuizen, Louis",7672,T2,2,Ocean Course at Kiawah Island,697,72,1,1:36pm,68,2.799,1.866,1.281,1.574,4.72,7.568,293.5,0.643,0.722,0.833,44.678,33.523,5,1
pga,2021,2021,PGA Championship,33,"Oosthuizen, Louis",7672,T2,3,Ocean Course at Kiawah Island,697,72,1,2:40pm,72,-3.072,2.899,2.896,-1.686,4.109,1.037,293.9,0.357,0.778,0.6,42.323,22.129,3,5
pga,2021,2021,PGA Championship,33,"Oosthuizen, Louis",7672,T2,4,Ocean Course at Kiawah Island,697,72,1,2:20pm,73,0.255,0.478,-0.115,-0.952,-0.588,-0.333,301.2,0.429,0.667,0.714,46.388,33.475,1,3
pga,2021,2021,PGA Championship,33,"Koepka, Brooks",16243,T2,1,Ocean Course at Kiawah Island,697,72,10,8:33am,69,2.034,1.423,3.789,-1.466,3.747,5.781,292.8,0.357,0.722,1.0,46.622,25.218,6,4
pga,2021,2021,PGA Championship,33,"Koepka, Brooks",16243,T2,2,Ocean Course at Kiawah Island,697,72,1,1:58pm,71,-0.784,0.273,3.415,1.615,5.303,4.568,305.1,0.571,0.611,0.571,50.703,31.043,3,2
pga,2021,2021,PGA Championship,33,"Koepka, Brooks",16243,T2,3,Ocean Course at Kiawah Island,697,72,1,2:30pm,70,0.087,-0.275,1.702,1.523,2.95,3.037,310.4,0.714,0.778,0.333,55.461,25.838,5,3
pga,2021,2021,PGA Championship,33,"Koepka, Brooks",16243,T2,4,Ocean Course at Kiawah Island,697,72,1,2:30pm,74,-0.694,-0.366,-1.101,0.827,-0.639,-1.333,298.4,0.5,0.556,0.5,43.807,36.173,4,8
pga,2021,2021,PGA Championship,33,"Harrington, Padraig",5716,T4,1,Ocean Course at Kiawah Island,697,72,1,1:14pm,71,0.726,3.248,-0.373,0.179,3.055,3.781,296.2,0.429,0.389,0.846,41.863,42.413,4,1
pga,2021,2021,PGA Championship,33,"Harrington, Padraig",5716,T4,2,Ocean Course at Kiawah Island,697,72,10,7:49am,73,-1.079,-1.049,2.542,2.105,3.598,2.568,296.4,0.786,0.722,0.444,26.954,36.908,6,4
pga,2021,2021,PGA Championship,33,"Harrington, Padraig",5716,T4,3,Ocean Course at Kiawah Island,697,72,1,1:00pm,73,0.504,1.559,-2.258,0.232,-0.467,0.037,302.6,0.429,0.444,0.615,53.223,41.547,4,4
pga,2021,2021,PGA Championship,33,"Harrington, Padraig",5716,T4,4,Ocean Course at Kiawah Island,697,72,1,12:00pm,69,-0.705,1.602,1.699,1.07,4.372,3.667,299.7,0.643,0.722,0.571,34.425,29.578,5,2
pga,2021,2021,PGA Championship,33,"Casey, Paul",7108,T4,1,Ocean Course at Kiawah Island,697,72,10,7:27am,71,0.941,0.258,2.024,0.557,2.84,3.781,293.7,0.786,0.611,0.714,28.448,39.09,3,2
pga,2021,2021,PGA Championship,33,"Casey, Paul",7108,T4,2,Ocean Course at Kiawah Island,697,72,1,12:52pm,71,1.207,0.408,3.156,-0.251,3.312,4.568,303.2,0.5,0.611,0.857,27.123,35.529,3,4
pga,2021,2021,PGA Championship,33,"Casey, Paul",7108,T4,3,Ocean Course at Kiawah Island,697,72,1,1:50pm,73,-2.857,-0.497,2.699,0.692,2.894,0.037,300.4,0.571,0.833,0.5,94.756,26.789,5,4
pga,2021,2021,PGA Championship,33,"Casey, Paul",7108,T4,4,Ocean Course at Kiawah Island,697,72,1,1:50pm,71,-0.615,0.641,0.255,1.385,2.282,1.667,288.9,0.5,0.667,0.5,60.784,45.971,2,2
pga,2021,2021,PGA Championship,33,"Lowry, Shane",13900,T4,1,Ocean Course at Kiawah Island,697,72,1,2:09pm,73,-1.015,-0.453,0.924,2.324,2.796,1.781,304.7,0.643,0.722,0.444,56.536,44.743,5,4
pga,2021,2021,PGA Championship,33,"Lowry, Shane",13900,T4,2,Ocean Course at Kiawah Island,697,72,10,8:44am,71,2.073,1.756,0.373,0.318,2.446,4.568,295.3,0.714,0.444,1.0,42.542,47.781,5,4
pga,2021,2021,PGA Championship,33,"Lowry, Shane",13900,T4,3,Ocean Course at Kiawah Island,697,72,1,12:50pm,73,-2.289,1.636,-1.662,2.352,2.326,0.037,310.5,0.857,0.667,0.556,,36.351,4,4
pga,2021,2021,PGA Championship,33,"Lowry, Shane",13900,T4,4,Ocean Course at Kiawah Island,697,72,1,12:00pm,69,0.102,0.556,1.687,1.321,3.565,3.667,300.7,0.571,0.722,0.667,51.777,35.991,3,5
pga,2021,2021,PGA Championship,33,"Higgs, Harry",14140,T4,1,Ocean Course at Kiawah Island,697,72,10,7:05am,72,-0.126,1.469,1.309,0.128,2.907,2.781,296.9,0.429,0.722,1.0,33.124,35.72,4,4
pga,2021,2021,PGA Championship,33,"Higgs, Harry",14140,T4,2,Ocean Course at Kiawah Island,697,72,1,12:30pm,71,1.38,1.581,1.577,-0.018,3.139,4.568,302.0,0.357,0.5,0.7,35.563,39.148,5,3
pga,2021,2021,PGA Championship,33,"Higgs, Harry",14140,T4,3,Ocean Course at Kiawah Island,697,72,1,1:30pm,73,-0.605,0.409,-1.083,1.316,0.642,0.037,305.4,0.643,0.667,0.625,72.676,35.54,3,3
pga,2021,2021,PGA Championship,33,"Higgs, Harry",14140,T4,4,Ocean Course at Kiawah Island,697,72,1,12:40pm,70,1.932,2.007,-0.798,-0.475,0.735,2.667,305.3,0.5,0.444,1.0,43.806,66.437,2,5
pga,2021,2021,PGA Championship,33,"Rose, Justin",6093,T8,1,Ocean Course at Kiawah Island,697,72,1,1:36pm,72,2.299,-0.539,0.804,0.216,0.482,2.781,296.4,0.714,0.611,0.714,64.929,37.3,5,3
pga,2021,2021,PGA Championship,33,"Rose, Justin",6093,T8,2,Ocean Course at Kiawah Island,697,72,10,8:11am,75,0.667,-0.997,-0.325,1.175,-0.148,0.568,298.4,0.643,0.5,0.636,61.054,31.522,2,4
pga,2021,2021,PGA Championship,33,"Rose, Justin",6093,T8,3,Ocean Course at Kiawah Island,697,72,1,11:10am,73,3.781,-1.216,-2.705,0.177,-3.744,0.037,293.5,0.714,0.611,0.5,81.73,31.209,4,3
pga,2021,2021,PGA Championship,33,"Rose, Justin",6093,T8,4,Ocean Course at Kiawah Island,697,72,1,10:20am,67,4.98,-1.026,0.414,1.298,0.687,5.667,298.8,0.714,0.722,0.857,43.14,32.884,5,1
pga,2021,2021,PGA Championship,33,"Streelman, Kevin",8480,T8,1,Ocean Course at Kiawah Island,697,72,10,1:42pm,70,0.122,3.281,1.196,0.181,4.659,4.781,287.3,0.714,0.556,0.875,57.804,40.281,2,2
pga,2021,2021,PGA Championship,33,"Streelman, Kevin",8480,T8,2,Ocean Course at Kiawah Island,697,72,1,8:17am,72,1.324,-1.489,2.136,1.549,2.195,3.568,294.7,0.714,0.722,0.25,81.976,34.208,6,3
pga,2021,2021,PGA Championship,33,"Streelman, Kevin",8480,T8,3,Ocean Course at Kiawah Island,697,72,1,2:00pm,70,1.017,0.824,0.108,1.088,2.02,3.037,298.8,0.786,0.667,0.833,122.158,31.556,2,1
pga,2021,2021,PGA Championship,33,"Streelman, Kevin",8480,T8,4,Ocean Course at Kiawah Island,697,72,1,2:20pm,75,-0.207,-0.613,-0.531,-0.983,-2.126,-2.333,292.9,0.5,0.5,0.444,82.424,38.222,1,5
pga,2021,2021,PGA Championship,33,"Finau, Tony",11676,T8,1,Ocean Course at Kiawah Island,697,72,1,1:03pm,74,0.736,2.372,-0.036,-2.292,0.045,0.781,289.5,0.286,0.444,0.8,35.413,49.989,3,4
pga,2021,2021,PGA Championship,33,"Finau, Tony",11676,T8,2,Ocean Course at Kiawah Island,697,72,10,7:38am,72,-0.627,1.374,1.802,0.97,4.146,3.568,291.8,0.643,0.556,0.556,33.937,42.263,5,3
pga,2021,2021,PGA Championship,33,"Finau, Tony",11676,T8,3,Ocean Course at Kiawah Island,697,72,1,11:50am,70,0.17,2.431,-1.052,1.488,2.867,3.037,307.9,0.714,0.722,0.625,41.856,33.995,4,1
pga,2021,2021,PGA Championship,33,"Finau, Tony",11676,T8,4,Ocean Course at Kiawah Island,697,72,1,1:10pm,71,0.156,0.114,0.535,0.861,1.511,1.667,298.7,0.643,0.722,0.625,51.192,35.348,5,6
pga,2021,2021,PGA Championship,33,"Fowler, Rickie",12965,T8,1,Ocean Course at Kiawah Island,697,72,10,7:38am,71,1.401,0.528,2.769,-0.918,2.38,3.781,285.3,0.5,0.611,0.875,66.421,30.509,2,4
pga,2021,2021,PGA Championship,33,"Fowler, Rickie",12965,T8,2,Ocean Course at Kiawah Island,697,72,1,1:03pm,76,0.891,0.32,-0.241,-1.45,-1.372,-0.432,281.4,0.571,0.444,0.636,56.439,36.486,4,5
pga,2021,2021,PGA Championship,33,"Fowler, Rickie",12965,T8,3,Ocean Course at Kiawah Island,697,72,1,10:50am,69,2.711,-0.18,0.699,0.807,1.326,4.037,292.1,0.786,0.722,0.714,49.516,33.793,4,0
pga,2021,2021,PGA Championship,33,"Fowler, Rickie",12965,T8,4,Ocean Course at Kiawah Island,697,72,1,1:20pm,71,-0.622,1.505,1.25,-0.467,2.289,1.667,287.2,0.571,0.611,0.889,73.018,36.109,0,1
pga,2021,2021,PGA Championship,33,"Ancer, Abraham",18238,T8,1,Ocean Course at Kiawah Island,697,72,1,12:52pm,74,0.774,-1.75,0.31,1.446,0.007,0.781,294.7,0.786,0.611,0.444,41.419,42.727,3,3
pga,2021,2021,PGA Championship,33,"Ancer, Abraham",18238,T8,2,Ocean Course at Kiawah Island,697,72,10,7:27am,72,-0.906,0.711,2.666,1.048,4.425,3.568,292.5,0.786,0.667,0.625,20.047,31.928,7,4
pga,2021,2021,PGA Championship,33,"Ancer, Abraham",18238,T8,3,Ocean Course at Kiawah Island,697,72,1,12:00pm,76,1.187,-0.488,-2.884,-0.778,-4.15,-2.963,293.1,0.714,0.444,0.5,93.046,37.965,2,3
pga,2021,2021,PGA Championship,33,"Ancer, Abraham",18238,T8,4,Ocean Course at Kiawah Island,697,72,1,8:50am,65,2.019,1.183,2.518,1.946,5.648,7.667,294.8,1.0,0.722,1.0,,30.497,6,1
pga,2021,2021,PGA Championship,33,"Scheffler, Scottie",18417,T8,1,Ocean Course at Kiawah Island,697,72,10,8:00am,72,-0.505,1.066,1.424,0.795,3.286,2.781,292.0,0.5,0.611,0.625,70.692,30.293,6,1
pga,2021,2021,PGA Championship,33,"Scheffler, Scottie",18417,T8,2,Ocean Course at Kiawah Island,697,72,1,1:25pm,74,2.087,-1.377,-0.443,1.253,-0.568,1.568,300.9,0.5,0.333,0.667,35.305,46.048,2,2
pga,2021,2021,PGA Championship,33,"Scheffler, Scottie",18417,T8,3,Ocean Course at Kiawah Island,697,72,1,11:40am,71,1.511,-0.408,0.629,0.305,0.526,2.037,300.3,0.429,0.556,0.625,57.187,23.087,6,3
pga,2021,2021,PGA Championship,33,"Scheffler, Scottie",18417,T8,4,Ocean Course at Kiawah Island,697,72,1,12:20pm,70,1.53,0.719,-0.008,0.425,1.137,2.667,298.2,0.643,0.611,0.556,59.005,37.851,2,1
pga,2021,2021,PGA Championship,33,"Rahm, Jon",19195,T8,1,Ocean Course at Kiawah Island,697,72,1,1:25pm,72,0.962,0.334,0.112,1.372,1.819,2.781,304.9,0.429,0.5,0.778,28.699,38.544,4,2
pga,2021,2021,PGA Championship,33,"Rahm, Jon",19195,T8,2,Ocean Course at Kiawah Island,697,72,10,8:00am,75,1.295,0.257,-0.812,-0.22,-0.776,0.568,299.6,0.571,0.556,0.714,58.939,33.964,3,3
pga,2021,2021,PGA Championship,33,"Rahm, Jon",19195,T8,3,Ocean Course at Kiawah Island,697,72,1,11:20am,72,-1.512,0.24,2.135,0.174,2.549,1.037,304.2,0.571,0.722,0.6,123.142,20.543,3,4
pga,2021,2021,PGA Championship,33,"Rahm, Jon",19195,T8,4,Ocean Course at Kiawah Island,697,72,1,11:10am,68,0.883,1.47,0.261,2.052,3.784,4.667,310.6,0.643,0.611,0.833,66.598,38.658,2,2
pga,2021,2021,PGA Championship,33,"Zalatoris, Will",19428,T8,1,Ocean Course at Kiawah Island,697,72,1,1:58pm,71,0.981,-1.568,3.205,1.162,2.8,3.781,298.3,0.714,0.611,0.625,66.943,27.959,5,4
pga,2021,2021,PGA Championship,33,"Zalatoris, Will",19428,T8,2,Ocean Course at Kiawah Island,697,72,10,8:33am,74,-0.42,-0.964,1.452,1.451,1.939,1.568,290.2,0.786,0.556,0.667,,33.768,2,4
pga,2021,2021,PGA Championship,33,"Zalatoris, Will",19428,T8,3,Ocean Course at Kiawah Island,697,72,1,12:20pm,72,-0.487,-0.584,1.784,0.324,1.524,1.037,303.2,0.5,0.611,0.571,97.525,28.326,6,2
pga,2021,2021,PGA Championship,33,"Zalatoris, Will",19428,T8,4,Ocean Course at Kiawah Island,697,72,1,12:10pm,70,-0.406,0.285,1.73,1.057,3.073,2.667,296.7,0.714,0.667,0.667,24.772,41.047,4,2
pga,2021,2021,PGA Championship,33,"Morikawa, Collin",22085,T8,1,Ocean Course at Kiawah Island,697,72,10,8:44am,70,1.261,-1.592,3.118,1.993,3.52,4.781,293.8,0.929,0.722,0.556,83.259,28.178,5,3
pga,2021,2021,PGA Championship,33,"Morikawa, Collin",22085,T8,2,Ocean Course at Kiawah Island,697,72,1,2:09pm,75,-2.93,0.408,2.379,0.662,3.449,0.568,295.8,0.643,0.667,0.375,104.113,32.019,2,5
pga,2021,2021,PGA Championship,33,"Morikawa, Collin",22085,T8,3,Ocean Course at Kiawah Island,697,72,1,12:00pm,74,-0.875,0.078,-0.573,0.407,-0.088,-0.963,299.1,0.714,0.611,0.333,14.333,33.903,1,4
pga,2021,2021,PGA Championship,33,"Morikawa, Collin",22085,T8,4,Ocean Course at Kiawah Island,697,72,1,11:00am,68,0.273,0.505,2.793,1.095,4.394,4.667,297.3,0.714,0.722,0.625,30.923,30.919,5,0
pga,2021,2021,PGA Championship,33,"Hoffman, Charley",5768,T17,1,Ocean Course at Kiawah Island,697,72,10,8:55am,73,0.324,-0.522,2.133,-0.155,1.457,1.781,292.6,0.714,0.667,0.286,35.209,40.271,3,5
pga,2021,2021,PGA Championship,33,"Hoffman, Charley",5768,T17,2,Ocean Course at Kiawah Island,697,72,1,2:20pm,70,2.449,0.622,1.428,1.021,3.07,5.568,303.3,0.643,0.722,0.833,52.984,32.049,6,2
