tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,1,Torrey Pines (South),744,71,10,3:06pm,69,1.51,0.94,0.35,1.92,3.21,4.718,311.5,0.714,0.556,0.778,40.025,32.546,4,2
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,2,Torrey Pines (South),744,71,1,7:51am,70,1.33,1.3,1.26,-0.08,2.48,3.787,315.7,0.357,0.611,0.667,34.145,37.182,9,3
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,3,Torrey Pines (South),744,71,1,1:13pm,72,-1.7,0.3,0.77,1.04,2.11,0.408,316.8,0.429,0.778,0.5,26.096,31.819,2,5
pga,2021,2021,U.S. Open #2,535,"Rahm, Jon",19195,1,4,Torrey Pines (South),744,71,1,12:22pm,67,2.48,-0.27,2.61,1.35,3.69,6.169,323.1,0.571,0.778,0.8,41.028,22.699,6,1
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,1,Torrey Pines (South),744,71,10,3:17pm,67,3.16,1.52,1.27,0.77,3.56,6.718,301.6,0.643,0.667,0.833,43.317,34.716,5,2
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,2,Torrey Pines (South),744,71,1,8:02am,71,1.33,0.87,0.06,0.55,1.48,2.787,304.8,0.5,0.5,0.818,46.969,38.541,4,4
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,3,Torrey Pines (South),744,71,1,1:24pm,70,1.95,-0.26,0.21,0.51,0.46,2.408,303.2,0.571,0.556,0.5,57.223,29.618,3,4
pga,2021,2021,U.S. Open #2,535,"Oosthuizen, Louis",7672,2,4,Torrey Pines (South),744,71,1,12:55pm,71,1.0,0.33,1.35,-0.51,1.17,2.169,304.9,0.571,0.778,0.333,41.98,27.935,3,2
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,1,Torrey Pines (South),744,71,1,8:48am,72,-0.69,2.65,0.82,-1.06,2.41,1.718,292.4,0.357,0.5,0.7,51.886,19.237,4,3
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,2,Torrey Pines (South),744,71,10,1:03pm,70,0.87,0.95,2.08,-0.09,2.94,3.787,299.9,0.357,0.722,0.667,33.736,34.897,4,3
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,3,Torrey Pines (South),744,71,1,12:18pm,71,0.17,0.17,0.64,0.43,1.24,1.408,295.7,0.643,0.556,0.778,38.119,31.082,2,0
pga,2021,2021,U.S. Open #2,535,"English, Harris",14577,3,4,Torrey Pines (South),744,71,1,11:16am,68,3.7,0.06,0.42,0.99,1.47,5.169,303.4,0.643,0.667,0.5,52.004,36.452,6,1
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,1,Torrey Pines (South),744,71,10,8:59am,69,3.02,-0.59,1.37,0.92,1.7,4.718,312.3,0.571,0.722,0.625,52.886,22.393,4,2
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,2,Torrey Pines (South),744,71,1,1:14pm,73,0.4,-0.52,0.96,-0.03,0.41,0.787,308.0,0.357,0.389,0.5,80.96,25.447,3,4
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,3,Torrey Pines (South),744,71,1,11:56am,71,-0.6,0.58,0.32,1.1,2.01,1.408,315.3,0.571,0.667,0.667,49.598,31.373,3,1
pga,2021,2021,U.S. Open #2,535,"Koepka, Brooks",16243,T4,4,Torrey Pines (South),744,71,1,11:27am,69,0.06,0.67,1.97,1.47,4.11,4.169,313.2,0.571,0.778,0.625,33.786,30.509,4,3
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,1,Torrey Pines (South),744,71,10,8:37am,71,-0.58,0.95,2.5,-0.15,3.3,2.718,299.2,0.357,0.722,1.0,53.978,32.973,6,5
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,2,Torrey Pines (South),744,71,1,12:52pm,70,-1.8,1.92,3.15,0.54,5.61,3.787,304.6,0.357,0.722,0.625,36.983,34.435,5,2
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,3,Torrey Pines (South),744,71,1,12:40pm,73,-0.01,-0.47,-0.87,0.77,-0.58,-0.592,303.9,0.643,0.611,0.333,55.812,38.919,3,3
pga,2021,2021,U.S. Open #2,535,"Migliozzi, Guido",17357,T4,4,Torrey Pines (South),744,71,1,10:32am,68,2.2,2.54,-0.09,0.51,2.97,5.169,301.8,0.5,0.556,0.714,68.854,30.097,7,1
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,1,Torrey Pines (South),744,71,10,8:59am,75,-2.52,0.27,0.05,0.91,1.24,-1.282,299.2,0.714,0.667,0.333,36.238,33.81,5,6
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,2,Torrey Pines (South),744,71,1,1:14pm,67,2.47,0.74,1.98,1.62,4.34,6.787,300.7,0.786,0.778,0.667,65.143,25.582,1,2
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,3,Torrey Pines (South),744,71,1,12:07pm,70,0.81,-0.25,1.05,0.81,1.6,2.408,305.9,0.571,0.667,0.778,47.235,35.266,1,2
pga,2021,2021,U.S. Open #2,535,"Morikawa, Collin",22085,T4,4,Torrey Pines (South),744,71,1,12:11pm,70,-1.18,0.0,2.76,1.59,4.35,3.169,306.5,0.786,0.778,0.6,25.993,26.393,6,5
pga,2021,2021,U.S. Open #2,535,"Casey, Paul",7108,T7,1,Torrey Pines (South),744,71,10,2:44pm,71,0.42,0.51,0.01,1.78,2.3,2.718,311.6,0.714,0.667,0.667,53.413,27.676,4,3
pga,2021,2021,U.S. Open #2,535,"Casey, Paul",7108,T7,2,Torrey Pines (South),744,71,1,7:29am,75,-2.53,1.01,0.61,-0.28,1.34,-1.213,302.9,0.429,0.556,0.4,77.852,25.955,4,3
pga,2021,2021,U.S. Open #2,535,"Casey, Paul",7108,T7,3,Torrey Pines (South),744,71,1,8:05am,67,3.16,-0.1,2.38,-0.03,2.25,5.408,307.5,0.429,0.667,0.571,37.226,25.18,7,3
pga,2021,2021,U.S. Open #2,535,"Casey, Paul",7108,T7,4,Torrey Pines (South),744,71,1,11:49am,70,-0.91,1.83,1.55,0.71,4.08,3.169,308.0,0.571,0.667,0.714,55.726,29.737,4,2
pga,2021,2021,U.S. Open #2,535,"McIlroy, Rory",10091,T7,1,Torrey Pines (South),744,71,1,3:06pm,70,0.67,1.72,-0.01,1.33,3.05,3.718,323.8,0.429,0.667,0.571,50.12,24.36,6,3
pga,2021,2021,U.S. Open #2,535,"McIlroy, Rory",10091,T7,2,Torrey Pines (South),744,71,10,7:51am,73,-0.97,0.48,-0.13,1.43,1.78,0.787,314.8,0.643,0.556,0.4,67.891,29.16,6,3
pga,2021,2021,U.S. Open #2,535,"McIlroy, Rory",10091,T7,3,Torrey Pines (South),744,71,1,11:34am,67,0.02,2.38,2.5,0.5,5.39,5.408,317.7,0.571,0.778,0.8,23.691,28.781,6,1
pga,2021,2021,U.S. Open #2,535,"McIlroy, Rory",10091,T7,4,Torrey Pines (South),744,71,1,12:44pm,73,-2.06,-0.29,2.07,0.45,2.23,0.169,318.2,0.429,0.667,0.5,53.576,24.048,3,5
pga,2021,2021,U.S. Open #2,535,"Grace, Branden",11952,T7,1,Torrey Pines (South),744,71,10,3:28pm,72,-3.3,1.05,2.31,1.66,5.02,1.718,304.8,0.786,0.722,0.571,6.583,29.062,2,4
pga,2021,2021,U.S. Open #2,535,"Grace, Branden",11952,T7,2,Torrey Pines (South),744,71,1,8:13am,70,-0.24,2.28,1.76,0.01,4.05,3.787,302.7,0.357,0.556,0.556,65.005,32.393,3,4
pga,2021,2021,U.S. Open #2,535,"Grace, Branden",11952,T7,3,Torrey Pines (South),744,71,1,12:18pm,74,-2.93,1.05,0.95,-0.66,1.34,-1.592,301.8,0.571,0.5,0.444,56.121,30.92,4,7
pga,2021,2021,U.S. Open #2,535,"Grace, Branden",11952,T7,4,Torrey Pines (South),744,71,1,9:26am,67,3.85,0.46,1.37,0.49,2.32,6.169,303.5,0.214,0.722,1.0,40.603,31.383,5,1
pga,2021,2021,U.S. Open #2,535,"Berger, Daniel",17606,T7,1,Torrey Pines (South),744,71,1,9:32am,71,0.76,0.32,2.04,-0.39,1.96,2.718,289.9,0.571,0.667,0.833,57.407,27.632,4,2
pga,2021,2021,U.S. Open #2,535,"Berger, Daniel",17606,T7,2,Torrey Pines (South),744,71,10,1:47pm,72,-0.28,-0.35,1.65,0.79,2.09,1.787,293.8,0.714,0.778,0.6,42.398,29.62,5,5
pga,2021,2021,U.S. Open #2,535,"Berger, Daniel",17606,T7,3,Torrey Pines (South),744,71,1,11:01am,72,-2.04,1.1,0.71,0.64,2.45,0.408,297.3,0.714,0.667,0.571,106.378,37.455,2,4
pga,2021,2021,U.S. Open #2,535,"Berger, Daniel",17606,T7,4,Torrey Pines (South),744,71,1,10:21am,68,3.63,-0.17,1.44,0.26,1.54,5.169,299.4,0.429,0.667,0.75,50.825,28.448,2,2
pga,2021,2021,U.S. Open #2,535,"Scheffler, Scottie",18417,T7,1,Torrey Pines (South),744,71,10,2:55pm,72,4.06,-0.81,0.42,-1.95,-2.34,1.718,298.1,0.143,0.389,0.6,56.823,47.394,3,4
pga,2021,2021,U.S. Open #2,535,"Scheffler, Scottie",18417,T7,2,Torrey Pines (South),744,71,1,7:40am,69,3.48,0.77,0.03,0.54,1.33,4.787,307.8,0.643,0.611,0.889,30.977,30.313,3,5
pga,2021,2021,U.S. Open #2,535,"Scheffler, Scottie",18417,T7,3,Torrey Pines (South),744,71,1,12:51pm,70,0.83,0.63,0.99,-0.04,1.58,2.408,304.1,0.571,0.556,0.667,42.305,28.174,3,2
pga,2021,2021,U.S. Open #2,535,"Scheffler, Scottie",18417,T7,4,Torrey Pines (South),744,71,1,12:33pm,72,0.1,-1.59,1.07,1.58,1.07,1.169,308.8,0.786,0.722,0.429,87.561,28.337,6,6
pga,2021,2021,U.S. Open #2,535,"Schauffele, Xander",19895,T7,1,Torrey Pines (South),744,71,10,9:21am,69,-0.37,1.22,2.12,1.75,5.09,4.718,318.5,0.643,0.722,0.714,77.074,26.334,10,3
pga,2021,2021,U.S. Open #2,535,"Schauffele, Xander",19895,T7,2,Torrey Pines (South),744,71,1,1:36pm,71,-0.46,0.59,1.37,1.32,3.27,2.787,313.6,0.5,0.667,0.571,50.822,24.572,4,3
pga,2021,2021,U.S. Open #2,535,"Schauffele, Xander",19895,T7,3,Torrey Pines (South),744,71,1,12:51pm,72,-1.63,-0.25,0.95,1.33,2.04,0.408,318.1,0.643,0.556,0.444,66.743,31.28,4,1
pga,2021,2021,U.S. Open #2,535,"Schauffele, Xander",19895,T7,4,Torrey Pines (South),744,71,1,12:00pm,71,0.95,0.02,-0.52,1.71,1.22,2.169,312.6,0.714,0.667,0.556,49.213,29.134,3,3
