tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,1,Southern Hills Country Club,611,70,1,1:14pm,67,3.182,0.61,1.838,0.203,2.651,5.833,310.1,0.5,0.611,0.714,36.597,29.639,3,0
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,2,Southern Hills Country Club,611,70,10,7:49am,67,1.927,0.295,2.416,0.964,3.676,5.603,312.1,0.643,0.889,0.5,38.423,26.996,3,0
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,3,Southern Hills Country Club,611,70,1,1:40pm,74,0.179,-0.113,-1.533,-0.014,-1.66,-1.481,291.8,0.571,0.611,0.571,33.481,37.06,2,6
pga,2022,2022,PGA Championship,33,"Thomas, Justin",14139,1,4,Southern Hills Country Club,611,70,1,1:05pm,67,1.036,2.465,-0.618,1.476,3.323,4.359,309.2,0.714,0.667,0.857,99.622,70.99,6,2
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,1,Southern Hills Country Club,611,70,10,8:00am,66,3.597,0.335,2.154,0.747,3.236,6.833,314.5,0.5,0.833,0.667,21.293,31.519,5,1
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,2,Southern Hills Country Club,611,70,1,1:25pm,65,2.583,1.475,2.943,0.601,5.02,7.603,309.7,0.5,0.611,1.0,39.007,24.139,4,0
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,3,Southern Hills Country Club,611,70,1,1:50pm,73,-1.436,0.778,0.072,0.105,0.955,-0.481,305.9,0.429,0.556,0.444,43.932,44.373,4,5
pga,2022,2022,PGA Championship,33,"Zalatoris, Will",19428,2,4,Southern Hills Country Club,611,70,1,1:25pm,71,-0.088,-0.061,-0.037,0.545,0.447,0.359,308.1,0.643,0.722,0.714,35.148,50.158,0,3
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,1,Southern Hills Country Club,611,70,1,7:33am,68,-0.251,1.542,2.746,0.796,5.084,4.833,303.6,0.786,0.833,0.667,48.976,29.055,3,3
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,2,Southern Hills Country Club,611,70,10,12:58pm,64,3.874,0.571,2.43,1.727,4.729,8.603,315.4,0.786,0.778,0.8,45.977,19.989,6,2
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,3,Southern Hills Country Club,611,70,1,1:50pm,69,3.411,-0.186,0.088,0.206,0.108,3.519,294.3,0.786,0.611,0.571,92.154,38.161,5,3
pga,2022,2022,PGA Championship,33,"Pereira, Mito",19455,T3,4,Southern Hills Country Club,611,70,1,1:35pm,75,-1.542,-1.075,0.832,-1.856,-2.099,-3.641,284.1,0.571,0.444,0.545,59.512,40.982,5,7
pga,2022,2022,PGA Championship,33,"Young, Cameron",26651,T3,1,Southern Hills Country Club,611,70,10,8:44am,71,-1.915,1.554,0.617,1.577,3.748,1.833,326.6,0.643,0.5,0.727,28.139,36.773,5,4
pga,2022,2022,PGA Championship,33,"Young, Cameron",26651,T3,2,Southern Hills Country Club,611,70,1,2:09pm,67,2.254,0.107,0.9,2.341,3.349,5.603,326.4,0.786,0.667,1.0,24.148,26.592,6,1
pga,2022,2022,PGA Championship,33,"Young, Cameron",26651,T3,3,Southern Hills Country Club,611,70,1,12:43pm,67,3.625,-0.41,-0.047,2.351,1.894,5.519,308.9,0.786,0.722,0.778,41.071,49.043,5,3
pga,2022,2022,PGA Championship,33,"Young, Cameron",26651,T3,4,Southern Hills Country Club,611,70,1,1:25pm,71,-1.845,0.326,1.132,0.746,2.204,0.359,308.9,0.643,0.556,0.556,41.393,31.828,3,3
pga,2022,2022,PGA Championship,33,"Fleetwood, Tommy",12294,T5,1,Southern Hills Country Club,611,70,1,1:58pm,71,-0.182,1.285,0.563,0.167,2.015,1.833,305.0,0.714,0.667,0.667,56.484,31.625,1,1
pga,2022,2022,PGA Championship,33,"Fleetwood, Tommy",12294,T5,2,Southern Hills Country Club,611,70,10,8:33am,70,-0.182,0.223,3.112,-0.551,2.785,2.603,299.7,0.429,0.667,0.667,44.814,25.61,4,1
pga,2022,2022,PGA Championship,33,"Fleetwood, Tommy",12294,T5,3,Southern Hills Country Club,611,70,1,11:22am,69,1.847,0.56,0.18,0.932,1.672,3.519,298.0,0.714,0.722,0.625,105.479,41.081,4,4
