tour,year,season,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots
pga,2023,2023,The Open Championship,100,"Harman, Brian",8825,1,1,Royal Liverpool,724,71,1,1:48pm,67,4.217,-0.065,0.934,1.164,2.033,6.25,279.1,0.786,0.667,0.857,21.0,35.656,3,2
pga,2023,2023,The Open Championship,100,"Harman, Brian",8825,1,2,Royal Liverpool,724,71,1,8:47am,65,4.186,2.862,0.102,1.299,4.263,8.449,282.1,0.714,0.611,0.889,81.0,35.683,10,1
pga,2023,2023,The Open Championship,100,"Harman, Brian",8825,1,3,Royal Liverpool,724,71,1,3:30pm,69,0.826,-0.197,0.712,0.093,0.609,1.434,276.3,0.571,0.611,0.714,55.1,33.951,3,1
pga,2023,2023,The Open Championship,100,"Harman, Brian",8825,1,4,Royal Liverpool,724,71,1,2:15pm,70,2.168,-0.757,0.493,0.675,0.411,2.579,261.0,0.857,0.667,0.5,26.0,36.281,3,3
pga,2023,2023,The Open Championship,100,"Day, Jason",9771,T2,1,Royal Liverpool,724,71,1,9:03am,72,0.33,1.144,-0.251,0.026,0.92,1.25,271.4,0.429,0.444,0.667,41.2,49.062,4,3
pga,2023,2023,The Open Championship,100,"Day, Jason",9771,T2,2,Royal Liverpool,724,71,1,2:04pm,67,2.712,0.929,1.753,1.054,3.737,6.449,272.6,0.786,0.778,0.667,47.708,27.782,4,2
pga,2023,2023,The Open Championship,100,"Day, Jason",9771,T2,3,Royal Liverpool,724,71,1,3:10pm,69,1.811,1.302,-0.841,-0.837,-0.377,1.434,274.1,0.357,0.556,0.7,38.967,56.472,3,5
pga,2023,2023,The Open Championship,100,"Day, Jason",9771,T2,4,Royal Liverpool,724,71,1,1:55pm,69,-0.625,2.546,0.805,0.853,4.204,3.579,257.8,0.714,0.667,0.714,42.944,38.692,1,3
pga,2023,2023,The Open Championship,100,"Straka, Sepp",17511,T2,1,Royal Liverpool,724,71,1,8:47am,71,0.345,-1.273,2.32,0.858,1.905,2.25,273.5,0.714,0.778,0.571,127.0,25.393,6,6
pga,2023,2023,The Open Championship,100,"Straka, Sepp",17511,T2,2,Royal Liverpool,724,71,1,1:48pm,67,2.902,1.483,1.069,0.994,3.547,6.449,275.8,0.571,0.667,0.75,67.333,27.538,8,2
pga,2023,2023,The Open Championship,100,"Straka, Sepp",17511,T2,3,Royal Liverpool,724,71,1,3:20pm,70,0.57,-0.774,0.979,-0.34,-0.136,0.434,272.8,0.5,0.778,0.25,62.167,28.403,3,3
pga,2023,2023,The Open Championship,100,"Straka, Sepp",17511,T2,4,Royal Liverpool,724,71,1,1:45pm,69,-0.739,-0.634,4.185,0.767,4.318,3.579,265.5,0.643,0.778,0.667,97.042,22.25,6,3
pga,2023,2023,The Open Championship,100,"Rahm, Jon",19195,T2,1,Royal Liverpool,724,71,1,2:59pm,74,-1.245,-0.438,0.595,0.338,0.495,-0.75,284.1,0.571,0.5,0.545,57.854,40.301,4,7
pga,2023,2023,The Open Championship,100,"Rahm, Jon",19195,T2,2,Royal Liverpool,724,71,1,9:58am,70,1.841,0.991,-0.464,1.08,1.607,3.449,279.9,0.5,0.444,0.769,68.528,43.788,6,3
pga,2023,2023,The Open Championship,100,"Rahm, Jon",19195,T2,3,Royal Liverpool,724,71,1,11:25am,63,3.616,0.847,1.448,1.523,3.818,7.434,309.9,0.5,0.778,1.0,26.667,25.042,7,1
pga,2023,2023,The Open Championship,100,"Rahm, Jon",19195,T2,4,Royal Liverpool,724,71,1,2:05pm,70,-0.6,-0.089,2.339,0.929,3.179,2.579,260.9,0.643,0.778,0.6,32.062,31.487,3,1
pga,2023,2023,The Open Championship,100,"Kim, Tom",24766,T2,1,Royal Liverpool,724,71,1,1:04pm,74,1.036,-0.597,-0.803,-0.387,-1.786,-0.75,263.4,0.714,0.5,0.636,144.0,40.839,3,5
pga,2023,2023,The Open Championship,100,"Kim, Tom",24766,T2,2,Royal Liverpool,724,71,1,8:03am,68,2.17,0.863,1.252,1.165,3.279,5.449,276.5,0.643,0.667,0.833,22.792,31.792,3,1
pga,2023,2023,The Open Championship,100,"Kim, Tom",24766,T2,3,Royal Liverpool,724,71,1,1:20pm,68,3.49,-0.21,-0.506,-0.339,-1.056,2.434,262.9,0.571,0.667,0.833,30.333,35.16,3,5
pga,2023,2023,The Open Championship,100,"Kim, Tom",24766,T2,4,Royal Liverpool,724,71,1,1:25pm,67,0.946,1.234,2.476,0.923,4.633,5.579,255.4,0.643,0.667,0.8,73.583,27.869,3,2
pga,2023,2023,The Open Championship,100,"McIlroy, Rory",10091,T6,1,Royal Liverpool,724,71,1,2:59pm,71,-0.583,-0.741,1.136,2.438,2.833,2.25,288.4,0.643,0.722,0.5,40.806,35.387,3,3
pga,2023,2023,The Open Championship,100,"McIlroy, Rory",10091,T6,2,Royal Liverpool,724,71,1,9:58am,70,1.074,1.103,0.206,1.066,2.375,3.449,293.2,0.5,0.556,0.778,64.4,39.006,7,3
pga,2023,2023,The Open Championship,100,"McIlroy, Rory",10091,T6,3,Royal Liverpool,724,71,1,2:25pm,69,-1.842,-0.214,2.418,1.072,3.276,1.434,283.4,0.5,0.833,0.667,41.417,25.686,2,0
pga,2023,2023,The Open Championship,100,"McIlroy, Rory",10091,T6,4,Royal Liverpool,724,71,1,1:00pm,68,2.299,0.379,1.409,0.493,2.28,4.579,267.1,0.286,0.611,0.75,47.604,31.897,5,2
pga,2023,2023,The Open Championship,100,"Grillo, Emiliano",12808,T6,1,Royal Liverpool,724,71,1,1:26pm,66,1.072,1.79,4.299,0.089,6.178,7.25,276.1,0.571,0.833,1.0,37.625,27.583,7,4
pga,2023,2023,The Open Championship,100,"Grillo, Emiliano",12808,T6,2,Royal Liverpool,724,71,1,8:25am,74,-0.335,-1.13,-0.809,1.723,-0.216,-0.551,276.9,0.714,0.611,0.4,51.0,42.438,2,2
pga,2023,2023,The Open Championship,100,"Grillo, Emiliano",12808,T6,3,Royal Liverpool,724,71,1,3:00pm,70,1.328,-1.084,0.125,0.066,-0.893,0.434,275.1,0.571,0.611,0.75,80.021,29.615,2,3
pga,2023,2023,The Open Championship,100,"Grillo, Emiliano",12808,T6,4,Royal Liverpool,724,71,1,1:00pm,68,2.214,-0.664,1.996,1.032,2.365,4.579,254.5,0.571,0.722,0.75,,26.014,3,0
pga,2023,2023,The Open Championship,100,"Sharma, Shubhankar",17081,T8,1,Royal Liverpool,724,71,1,3:54pm,68,0.239,1.195,3.4,0.415,5.011,5.25,266.6,0.571,0.778,1.0,91.417,33.113,4,1
pga,2023,2023,The Open Championship,100,"Sharma, Shubhankar",17081,T8,2,Royal Liverpool,724,71,1,10:53am,71,1.088,1.483,-0.86,0.737,1.36,2.449,269.9,0.643,0.5,0.727,93.694,38.595,4,2
